9/9,1st,12/17,"12,301"
9/19,2nd,12/27,"12,229"
9/12,3rd,12/20,"12,224"
9/17,4th,12/25,"12,148"
9/10,5th,12/18,"12,143"
7/7,6th,10/14,"12,108"
9/20,7th,12/28,"12,107"
9/15,8th,12/23,"12,087"
9/16,9th,12/24,"12,072"
9/18,10th,12/26,"12,055"
12/20,11th,3/29,"12,009"
9/26,12th,1/3,"11,993"
9/8,13th,12/16,"11,992"
9/23,14th,12/31,"11,974"
12/29,15th,4/7,"11,956"
8/8,16th,11/15,"11,951"
9/24,17th,1/1,"11,945"
7/8,18th,10/15,"11,944"
12/19,19th,3/28,"11,935"
8/29,20th,12/6,"11,924"
8/15,21st,11/22,"11,921"
9/22,22nd,12/30,"11,920"
12/30,23rd,4/8,"11,889"
9/14,24th,12/22,"11,882"
9/25,25th,1/2,"11,866"
9/27,26th,1/4,"11,861"
7/1,27th,10/8,"11,860"
12/28,28th,4/6,"11,855"
8/28,28th,12/5,"11,855"
7/2,30th,10/9,"11,828"
8/22,31st,11/29,"11,825"
9/21,32nd,12/29,"11,813"
9/13,33rd,12/21,"11,801"
8/30,34th,12/7,"11,800"
7/11,35th,10/18,"11,794"
8/16,36th,11/23,"11,788"
8/1,37th,11/8,"11,775"
7/18,38th,10/25,"11,772"
8/20,39th,11/27,"11,771"
7/9,40th,10/16,"11,769"
7/16,41st,10/23,"11,768"
7/25,41st,11/1,"11,768"
7/15,43rd,10/22,"11,754"
8/12,44th,11/19,"11,749"
7/10,45th,10/17,"11,738"
8/27,46th,12/4,"11,737"
8/9,47th,11/16,"11,721"
10/1,48th,1/8,"11,720"
7/17,49th,10/24,"11,718"
7/23,50th,10/30,"11,699"
8/14,51st,11/21,"11,692"
7/22,52nd,10/29,"11,686"
8/18,53rd,11/25,"11,681"
12/21,54th,3/30,"11,680"
7/14,54th,10/21,"11,680"
12/18,56th,3/27,"11,675"
10/3,57th,1/10,"11,674"
12/27,58th,4/5,"11,665"
7/21,59th,10/28,"11,664"
8/23,60th,11/30,"11,655"
8/21,61st,11/28,"11,643"
8/19,62nd,11/26,"11,637"
2/14,63rd,5/24,"11,636"
8/26,64th,12/3,"11,620"
7/28,65th,11/4,"11,614"
8/5,66th,11/12,"11,610"
8/11,67th,11/18,"11,608"
7/24,68th,10/31,"11,607"
7/30,69th,11/6,"11,599"
7/29,70th,11/5,"11,593"
6/27,71st,10/4,"11,590"
8/7,72nd,11/14,"11,589"
8/6,73rd,11/13,"11,586"
7/26,74th,11/2,"11,581"
8/2,75th,11/9,"11,580"
8/25,76th,12/2,"11,576"
10/2,77th,1/9,"11,572"
9/29,77th,1/6,"11,572"
8/4,79th,11/11,"11,569"
11/21,80th,2/28,"11,567"
7/12,81st,10/19,"11,565"
6/28,82nd,10/5,"11,557"
10/10,83rd,1/17,"11,556"
8/31,84th,12/8,"11,555"
9/28,85th,1/5,"11,554"
8/17,86th,11/24,"11,548"
6/30,87th,10/7,"11,547"
7/19,88th,10/26,"11,545"
5/23,89th,8/30,"11,525"
7/31,90th,11/7,"11,516"
9/11,91st,12/19,"11,503"
6/20,92nd,9/27,"11,502"
8/10,93rd,11/17,"11,491"
10/4,94th,1/11,"11,490"
9/30,95th,1/7,"11,489"
7/6,96th,10/13,"11,487"
12/17,97th,3/26,"11,481"
8/13,98th,11/20,"11,468"
8/24,99th,12/1,"11,452"
11/20,100th,2/27,"11,442"
12/12,101st,3/21,"11,440"
9/5,102nd,12/13,"11,431"
7/20,103rd,10/27,"11,428"
7/27,104th,11/3,"11,410"
6/25,105th,10/2,"11,406"
9/7,106th,12/15,"11,398"
12/22,107th,3/31,"11,388"
6/26,108th,10/3,"11,374"
5/24,109th,8/31,"11,367"
12/16,110th,3/25,"11,352"
6/29,111th,10/6,"11,351"
11/1,112th,2/8,"11,350"
6/2,113th,9/9,"11,345"
6/18,114th,9/25,"11,339"
10/6,115th,1/13,"11,335"
8/3,116th,11/10,"11,332"
6/24,117th,10/1,"11,328"
10/7,118th,1/14,"11,324"
10/8,119th,1/15,"11,309"
11/7,120th,2/14,"11,308"
7/3,121st,10/10,"11,304"
6/21,122nd,9/28,"11,298"
10/17,123rd,1/24,"11,296"
9/6,124th,12/14,"11,293"
5/22,125th,8/29,"11,288"
6/14,125th,9/21,"11,288"
5/16,127th,8/23,"11,283"
10/24,128th,1/31,"11,276"
10/5,129th,1/12,"11,272"
10/11,130th,1/18,"11,268"
6/16,131st,9/23,"11,265"
10/15,132nd,1/22,"11,261"
6/3,133rd,9/10,"11,256"
11/19,134th,2/26,"11,255"
5/21,135th,8/28,"11,254"
6/17,136th,9/24,"11,253"
12/1,137th,3/10,"11,251"
6/23,138th,9/30,"11,244"
11/14,139th,2/21,"11,240"
6/6,139th,9/13,"11,240"
11/15,141st,2/22,"11,229"
6/10,142nd,9/17,"11,222"
6/4,143rd,9/11,"11,221"
4/4,144th,7/12,"11,219"
9/4,145th,12/12,"11,216"
6/12,146th,9/19,"11,196"
5/20,147th,8/27,"11,193"
11/5,148th,2/12,"11,191"
12/15,148th,3/24,"11,191"
2/15,150th,5/25,"11,188"
10/25,151st,2/1,"11,183"
12/2,152nd,3/11,"11,182"
3/21,153rd,6/28,"11,181"
7/13,153rd,10/20,"11,181"
11/8,155th,2/15,"11,180"
6/19,156th,9/26,"11,176"
11/18,157th,2/25,"11,173"
6/1,158th,9/8,"11,164"
6/5,158th,9/12,"11,164"
6/11,160th,9/18,"11,160"
6/7,160th,9/14,"11,160"
5/15,162nd,8/22,"11,157"
10/22,163rd,1/29,"11,156"
10/14,164th,1/21,"11,149"
10/18,164th,1/25,"11,149"
2/7,164th,5/17,"11,149"
12/3,167th,3/12,"11,142"
11/11,168th,2/18,"11,141"
10/9,169th,1/16,"11,137"
3/17,169th,6/24,"11,137"
12/5,171st,3/14,"11,132"
11/3,172nd,2/10,"11,130"
6/22,172nd,9/29,"11,130"
11/4,174th,2/11,"11,129"
3/1,174th,6/8,"11,129"
11/17,176th,2/24,"11,125"
5/17,177th,8/24,"11,122"
3/14,178th,6/21,"11,119"
9/3,178th,12/11,"11,119"
10/16,180th,1/23,"11,115"
5/2,181st,8/9,"11,113"
2/22,182nd,6/1,"11,111"
10/28,183rd,2/4,"11,102"
3/7,184th,6/14,"11,087"
6/9,185th,9/16,"11,083"
11/2,186th,2/9,"11,081"
11/6,186th,2/13,"11,081"
6/15,188th,9/22,"11,078"
11/12,189th,2/19,"11,077"
3/3,190th,6/10,"11,074"
5/5,191st,8/12,"11,073"
5/10,192nd,8/17,"11,071"
5/14,193rd,8/21,"11,070"
10/20,194th,1/27,"11,065"
2/8,195th,5/18,"11,063"
4/11,196th,7/19,"11,059"
10/21,197th,1/28,"11,057"
2/28,198th,6/7,"11,053"
1/24,199th,5/3,"11,049"
10/23,200th,1/30,"11,046"
3/28,201st,7/5,"11,045"
6/13,202nd,9/20,"11,041"
5/9,203rd,8/16,"11,040"
11/10,204th,2/17,"11,039"
10/27,205th,2/3,"11,032"
6/8,206th,9/15,"11,025"
1/10,207th,4/19,"11,023"
11/16,208th,2/23,"11,022"
1/4,209th,4/13,"11,019"
5/12,210th,8/19,"11,016"
2/10,211th,5/20,"11,015"
2/11,211th,5/21,"11,015"
10/12,213th,1/19,"11,014"
10/29,214th,2/5,"11,012"
3/15,215th,6/22,"11,011"
2/21,216th,5/31,"11,008"
4/18,217th,7/26,"11,004"
4/2,217th,7/10,"11,004"
3/12,219th,6/19,"11,003"
3/20,219th,6/27,"11,003"
5/1,221st,8/8,"11,002"
9/2,222nd,12/10,"11,000"
5/19,223rd,8/26,"10,999"
4/25,224th,8/2,"10,996"
3/4,225th,6/11,"10,989"
12/4,226th,3/13,"10,981"
3/5,227th,6/12,"10,979"
1/14,228th,4/23,"10,976"
3/8,228th,6/15,"10,976"
1/11,230th,4/20,"10,975"
2/25,231st,6/4,"10,974"
3/25,231st,7/2,"10,974"
3/22,233rd,6/29,"10,967"
12/6,234th,3/15,"10,958"
5/8,235th,8/15,"10,955"
3/18,236th,6/25,"10,954"
1/5,237th,4/14,"10,953"
4/12,237th,7/20,"10,953"
12/14,239th,3/23,"10,952"
1/25,240th,5/4,"10,951"
12/10,240th,3/19,"10,951"
2/2,242nd,5/12,"10,949"
5/6,242nd,8/13,"10,949"
2/16,244th,5/26,"10,948"
5/7,245th,8/14,"10,945"
2/18,246th,5/28,"10,940"
3/10,246th,6/17,"10,940"
1/12,248th,4/21,"10,934"
3/11,249th,6/18,"10,931"
9/1,250th,12/9,"10,930"
2/1,251st,5/11,"10,929"
10/26,252nd,2/2,"10,928"
11/9,253rd,2/16,"10,927"
2/23,253rd,6/2,"10,927"
1/7,255th,4/16,"10,925"
3/24,256th,7/1,"10,921"
3/6,256th,6/13,"10,921"
3/19,258th,6/26,"10,914"
1/6,259th,4/15,"10,911"
4/16,260th,7/24,"10,909"
2/4,261st,5/14,"10,905"
2/24,262nd,6/3,"10,904"
5/3,263rd,8/10,"10,903"
1/17,264th,4/26,"10,901"
5/30,264th,9/6,"10,901"
4/5,266th,7/13,"10,900"
4/3,267th,7/11,"10,899"
5/18,267th,8/25,"10,899"
2/12,269th,5/22,"10,898"
4/17,270th,7/25,"10,897"
3/27,271st,7/4,"10,895"
12/8,272nd,3/17,"10,893"
2/9,272nd,5/19,"10,893"
4/19,274th,7/27,"10,891"
4/8,275th,7/16,"10,890"
3/26,276th,7/3,"10,888"
2/20,277th,5/30,"10,886"
1/18,278th,4/27,"10,883"
1/31,278th,5/10,"10,883"
12/11,278th,3/20,"10,883"
4/15,278th,7/23,"10,883"
4/26,282nd,8/3,"10,882"
4/22,283rd,7/30,"10,877"
3/29,284th,7/6,"10,873"
1/23,285th,5/2,"10,865"
4/23,286th,7/31,"10,864"
4/7,287th,7/15,"10,859"
2/27,288th,6/6,"10,858"
11/30,289th,3/9,"10,855"
12/13,289th,3/22,"10,855"
2/17,291st,5/27,"10,854"
10/19,292nd,1/26,"10,850"
12/9,293rd,3/18,"10,849"
4/24,294th,8/1,"10,845"
1/26,295th,5/5,"10,843"
2/3,295th,5/13,"10,843"
1/28,297th,5/7,"10,835"
4/9,298th,7/17,"10,830"
5/25,299th,9/1,"10,827"
4/10,300th,7/18,"10,826"
1/20,301st,4/29,"10,825"
1/21,302nd,4/30,"10,824"
1/27,303rd,5/6,"10,823"
4/21,304th,7/29,"10,817"
10/30,305th,2/6,"10,815"
1/3,306th,4/12,"10,813"
4/14,307th,7/22,"10,812"
4/28,308th,8/5,"10,803"
3/2,309th,6/9,"10,802"
5/28,310th,9/4,"10,797"
2/6,311th,5/16,"10,794"
5/29,312th,9/5,"10,782"
3/31,313th,7/8,"10,779"
3/16,314th,6/23,"10,773"
10/13,315th,1/20,"10,768"
3/9,316th,6/16,"10,765"
11/29,317th,3/8,"10,764"
1/30,318th,5/9,"10,752"
5/11,319th,8/18,"10,744"
11/13,320th,2/20,"10,742"
12/7,321st,3/16,"10,741"
3/23,322nd,6/30,"10,739"
4/29,323rd,8/6,"10,735"
4/30,324th,8/7,"10,731"
2/26,325th,6/5,"10,727"
5/31,326th,9/7,"10,719"
5/4,327th,8/11,"10,717"
3/30,328th,7/7,"10,714"
4/20,328th,7/28,"10,714"
5/13,330th,8/20,"10,697"
5/27,331st,9/3,"10,693"
1/19,332nd,4/28,"10,691"
2/5,333rd,5/15,"10,685"
1/22,334th,5/1,"10,673"
2/19,334th,5/29,"10,673"
11/22,336th,3/1,"10,664"
4/27,336th,8/4,"10,664"
3/13,338th,6/20,"10,654"
4/6,339th,7/14,"10,639"
1/9,340th,4/18,"10,624"
1/16,341st,4/25,"10,623"
1/13,342nd,4/22,"10,622"
1/8,343rd,4/17,"10,610"
2/13,344th,5/23,"10,604"
1/29,345th,5/8,"10,567"
1/15,346th,4/24,"10,546"
2/29,347th,7/7,"10,462"
7/5,348th,10/12,"10,404"
5/26,349th,9/2,"10,401"
12/31,350th,4/9,"10,394"
4/13,351st,7/21,"10,389"
12/23,352nd,4/1,"10,338"
4/1,353rd,7/9,"10,300"
11/28,354th,3/7,"10,096"
11/26,355th,3/5,"10,044"
11/24,356th,3/3,"10,015"
10/31,357th,2/7,"9,978"
11/25,358th,3/4,"9,954"
11/23,359th,3/2,"9,883"
11/27,360th,3/6,"9,718"
12/26,361st,4/4,"9,543"
1/2,362nd,4/11,"9,307"
7/4,363rd,10/11,"8,796"
12/24,364th,4/2,"8,069"
1/1,365th,4/10,"7,792"
12/25,366th,4/3,"6,574"
